Invoice,Inhouse,"Generated In",Consignee,"Invoice Type"
INV-1509,INH-10000584,04/05/2023,"FIRST NAME LAST NAME",Inhouse
INV-1508,WR-2793-PWR,04/05/2023,"FIRST NAME LAST NAME",shopperassist
INV-1506,INH-10000581,04/05/2023,"FIRST NAME LAST NAME",Inhouse
INV-1504,INH-10000580,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1502,INH-10000579,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1501,INH-10000578,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1500,INH-10000577,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1499,WR-2776-PWR,04/04/2023,"FIRST NAME LAST NAME",shopperassist
INV-1495,INH-10000573,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1493,INH-10000571,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1489,INH-10000567,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1488,INH-10000566,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1487,INH-10000565,04/04/2023,"FIRST NAME LAST NAME",Inhouse
INV-1484,WR-2744-PWR,04/03/2023,"FIRST NAME LAST NAME",shopperassist
INV-1483,WR-2743-PWR,04/03/2023,"FIRST NAME LAST NAME",shopperassist
INV-1482,WR-2742-PWR,04/03/2023,"FIRST NAME LAST NAME",shopperassist
INV-1479,INH-10000560,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1477,INH-10000558,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1475,INH-10000556,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1474,INH-10000555,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1473,INH-10000554,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1473,INH-10000554,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1473,INH-10000554,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1471,INH-10000553,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1469,INH-10000552,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1466,INH-10000550,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1463,INH-10000549,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1460,INH-10000546,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1456,INH-10000540,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1456,INH-10000540,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1456,INH-10000540,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1453,INH-10000537,03/31/2023,"FIRST NAME LAST NAME",Inhouse
INV-1452,WR-2685-PWR,03/31/2023,"FIRST NAME LAST NAME",shopperassist
INV-1451,WR-2684-PWR,03/31/2023,"FIRST NAME LAST NAME",shopperassist
INV-1450,WR-2683-PWR,03/31/2023,"FIRST NAME LAST NAME",shopperassist
INV-1449,WR-2682-PWR,03/31/2023,"FIRST NAME LAST NAME",shopperassist
INV-1448,WR-2681-PWR,03/31/2023,"FIRST NAME LAST NAME",shopperassist
INV-1447,WR-2680-PWR,03/31/2023,"FIRST NAME LAST NAME",shopperassist
INV-1446,WR-2678-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1445,WR-2677-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1444,WR-2676-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1443,WR-2675-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1442,WR-2674-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1441,WR-2673-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1440,WR-2672-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1439,WR-2671-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1438,WR-2670-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1435,WR-2667-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1433,WR-2664-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1422,WR-2637-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1421,WR-2635-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1420,WR-2634-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1418,WR-2630-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
